ID	6 | 0.02	6 | 0.1	6 | 10	6 | 25	6 | 50	6 | 100	6 | 250	6 | 500	6 | 1000	5 | 0.02	5 | 0.1	5 | 10	5 | 25	5 | 50	5 | 100	5 | 250	5 | 500	5 | 1000	4 | 0.02	4 | 0.1	4 | 10	4 | 25	4 | 50	4 | 100	4 | 250	4 | 500	4 | 1000
2398	no match	no match	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	no match	CCMSLIB00006408125	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00005774119	CCMSLIB00005774119	CCMSLIB00005774119	CCMSLIB00005774119	CCMSLIB00012338050	CCMSLIB00006408125	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00006709997	CCMSLIB00005774119	CCMSLIB00005774119	CCMSLIB00005774119	CCMSLIB00005774119
2404	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00012316115	CCMSLIB00012316115	CCMSLIB00012316115	CCMSLIB00012316115	CCMSLIB00012316115	no match	no match	CCMSLIB00011430286	CCMSLIB00011430286	CCMSLIB00012316122	CCMSLIB00012316122	CCMSLIB00012316122	CCMSLIB00012316122	CCMSLIB00012316122
1896	no match	no match	no match	no match	no match	CCMSLIB00005463538	CCMSLIB00010118011	CCMSLIB00012448230	CCMSLIB00012448230	no match	no match	CCMSLIB00012468967	CCMSLIB00012468967	CCMSLIB00005464615	CCMSLIB00005464615	CCMSLIB00012285483	CCMSLIB00012448230	CCMSLIB00012448230	no match	no match	CCMSLIB00012468967	CCMSLIB00012474802	CCMSLIB00005464615	CCMSLIB00005464615	CCMSLIB00012422435	CCMSLIB00012367083	CCMSLIB00012367083
2412	no match	no match	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463504	CCMSLIB00012310003	CCMSLIB00012310003	no match	no match	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00005463539	CCMSLIB00009918383	CCMSLIB00004705624	CCMSLIB00005732827	CCMSLIB00005732827	no match	no match	CCMSLIB00000079686	CCMSLIB00004699690	CCMSLIB00005742570	CCMSLIB00012325101	CCMSLIB00012331200	CCMSLIB00005732827	CCMSLIB00005732827
1904	no match	no match	CCMSLIB00005463504	CCMSLIB00012441222	CCMSLIB00012441222	CCMSLIB00012441222	CCMSLIB00012441222	CCMSLIB00012441222	CCMSLIB00012441222	no match	CCMSLIB00010011978	CCMSLIB00012247580	CCMSLIB00012441226	CCMSLIB00012441226	CCMSLIB00012441226	CCMSLIB00006389958	CCMSLIB00006389958	CCMSLIB00006389958	no match	CCMSLIB00010011978	CCMSLIB00012287797	CCMSLIB00012406277	CCMSLIB00012406277	CCMSLIB00005739122	CCMSLIB00010103514	CCMSLIB00010103514	CCMSLIB00010103514
1403	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00006571932	CCMSLIB00006571932	CCMSLIB00006571932	CCMSLIB00006571932	no match	no match	CCMSLIB00000478478	CCMSLIB00000854634	CCMSLIB00000854634	CCMSLIB00000854634	CCMSLIB00012474818	CCMSLIB00012474818	CCMSLIB00012474818	no match	no match	CCMSLIB00012321040	CCMSLIB00012321040	CCMSLIB00012266503	CCMSLIB00012474839	CCMSLIB00005745736	CCMSLIB00005745736	CCMSLIB00005745736
1915	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	no match	CCMSLIB00011430293	CCMSLIB00004699526	CCMSLIB00010119104	CCMSLIB00006572072	CCMSLIB00006572072	CCMSLIB00006572072	no match	no match	CCMSLIB00006565243	CCMSLIB00006544353	CCMSLIB00006544353	CCMSLIB00005764336	CCMSLIB00005773696	CCMSLIB00005773696	CCMSLIB00005773696
380	no match	no match	no match	no match	CCMSLIB00003136974	CCMSLIB00003136974	CCMSLIB00003136974	CCMSLIB00003136974	CCMSLIB00003136974	no match	no match	CCMSLIB00004698381	CCMSLIB00005723364	CCMSLIB00003136974	CCMSLIB00003136974	CCMSLIB00012293037	CCMSLIB00012293037	CCMSLIB00012293037	no match	no match	CCMSLIB00000848942	CCMSLIB00005723364	CCMSLIB00003136974	CCMSLIB00003136974	CCMSLIB00012293037	CCMSLIB00012293037	CCMSLIB00012293037
1927	no match	no match	CCMSLIB00005463508	CCMSLIB00012439301	CCMSLIB00012439301	CCMSLIB00012439301	CCMSLIB00010109460	CCMSLIB00010109460	CCMSLIB00010109460	no match	no match	CCMSLIB00005749330	CCMSLIB00012439301	CCMSLIB00012439301	CCMSLIB00012444889	CCMSLIB00005747769	CCMSLIB00005747769	CCMSLIB00005747769	no match	CCMSLIB00004713645	CCMSLIB00012449049	CCMSLIB00012449049	CCMSLIB00006436800	CCMSLIB00006436800	CCMSLIB00006436800	CCMSLIB00010124447	CCMSLIB00010124447
2440	no match	no match	no match	CCMSLIB00005723305	CCMSLIB00005723305	CCMSLIB00000853340	CCMSLIB00005747482	CCMSLIB00005747482	CCMSLIB00005747482	no match	no match	no match	CCMSLIB00005723305	CCMSLIB00005723305	CCMSLIB00000853340	CCMSLIB00005747482	CCMSLIB00005739415	CCMSLIB00005739415	no match	no match	CCMSLIB00012256338	CCMSLIB00012256338	CCMSLIB00012256338	CCMSLIB00012256338	CCMSLIB00009919225	CCMSLIB00005739415	CCMSLIB00005739415
394	no match	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	CCMSLIB00000085117	CCMSLIB00000085117	CCMSLIB00000085117	CCMSLIB00000085117	CCMSLIB00006543886	CCMSLIB00006543886	CCMSLIB00006543886	no match	no match	CCMSLIB00000085117	CCMSLIB00006358529	CCMSLIB00012270475	CCMSLIB00012270475	CCMSLIB00006378967	CCMSLIB00006378967	CCMSLIB00006378967
2443	no match	no match	CCMSLIB00012475038	CCMSLIB00012475038	CCMSLIB00012475038	CCMSLIB00006437037	CCMSLIB00005720225	CCMSLIB00005720212	CCMSLIB00005720212	no match	no match	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00005720212	CCMSLIB00005720212	no match	no match	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00012474809	CCMSLIB00000850995	CCMSLIB00010125818	CCMSLIB00010125818
1934	no match	no match	CCMSLIB00005463504	CCMSLIB00011906237	CCMSLIB00010124522	CCMSLIB00010124522	CCMSLIB00005436065	CCMSLIB00005436065	CCMSLIB00005436065	no match	no match	CCMSLIB00012288755	CCMSLIB00012288755	CCMSLIB00004714302	CCMSLIB00004714302	CCMSLIB00005436065	CCMSLIB00005436065	CCMSLIB00005436065	no match	CCMSLIB00005465099	CCMSLIB00012293761	CCMSLIB00004751247	CCMSLIB00012276418	CCMSLIB00012381350	CCMSLIB00012381350	CCMSLIB00012381350	CCMSLIB00012381350
2449	no match	no match	CCMSLIB00005463500	CCMSLIB00005463663	CCMSLIB00012352136	CCMSLIB00012352136	CCMSLIB00012352136	CCMSLIB00012352136	CCMSLIB00012352136	no match	no match	CCMSLIB00006709977	CCMSLIB00005747769	CCMSLIB00005747769	CCMSLIB00005747769	CCMSLIB00005747769	CCMSLIB00005747769	CCMSLIB00005747769	no match	no match	CCMSLIB00006709977	CCMSLIB00006381594	CCMSLIB00006381594	CCMSLIB00006381594	CCMSLIB00006381594	CCMSLIB00006381594	CCMSLIB00006381594
410	no match	no match	no match	CCMSLIB00004678655	CCMSLIB00000840342	CCMSLIB00012358613	CCMSLIB00012358613	CCMSLIB00005725366	CCMSLIB00005725366	no match	no match	CCMSLIB00004678656	CCMSLIB00005748072	CCMSLIB00012440855	CCMSLIB00012358613	CCMSLIB00005764603	CCMSLIB00005725366	CCMSLIB00005725366	CCMSLIB00005777359	CCMSLIB00005777359	CCMSLIB00009919202	CCMSLIB00012286422	CCMSLIB00012440855	CCMSLIB00012358620	CCMSLIB00005764603	CCMSLIB00005768516	CCMSLIB00005768516
1443	no match	no match	CCMSLIB00001059638	CCMSLIB00001059638	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	no match	no match	CCMSLIB00001059638	CCMSLIB00001059638	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	no match	no match	CCMSLIB00001059638	CCMSLIB00001059638	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865	CCMSLIB00012474865
2468	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00012368097	CCMSLIB00012368097	CCMSLIB00012368097	CCMSLIB00012368097	CCMSLIB00012368097	no match	no match	CCMSLIB00011906002	CCMSLIB00004713228	CCMSLIB00012400629	CCMSLIB00004712502	CCMSLIB00005722147	CCMSLIB00005722147	CCMSLIB00005722147	no match	CCMSLIB00012419622	CCMSLIB00010140797	CCMSLIB00000852150	CCMSLIB00000852150	CCMSLIB00004712502	CCMSLIB00012438344	CCMSLIB00012438341	CCMSLIB00012438341
1448	no match	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	CCMSLIB00006709991	CCMSLIB00012400053	CCMSLIB00012400053	CCMSLIB00012400053	CCMSLIB00012400053	CCMSLIB00012400053	CCMSLIB00012400053	CCMSLIB00012400053	no match	CCMSLIB00006709991	CCMSLIB00005733044	CCMSLIB00012474881	CCMSLIB00012474881	CCMSLIB00012474881	CCMSLIB00012474881	CCMSLIB00012474881	CCMSLIB00012474881
2483	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00005463504	no match	no match	CCMSLIB00000080510	CCMSLIB00000080510	CCMSLIB00006561993	CCMSLIB00006561993	CCMSLIB00006561993	CCMSLIB00006561993	CCMSLIB00006561993	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022	CCMSLIB00006514022
