row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,LEV623-finale.mzXML Peak area,
2017,418.1738882259203,22.91,,,,81,10,[M+Na]+,,2,2009;2017,395.18443,7474.6763,
43,418.2972593209615,9.0289,,,,109,,,,,,,3074.2136,
2253,419.1574179623056,24.3725,,,,2,20,[M+Na]+,,3,2251;2253;2244,396.16869,243758.27,
1860,420.20734674604256,21.78,,,,19,,,,,,,6236.734,
1629,420.23951951065857,20.485332,,,,86,,,,,,,20782.256,
1317,421.21121365360705,18.716333,,,,83,,,,,,,68356.336,
2496,422.2069409607145,28.035166,,,,110,28,[M+H]+,,3,2497;2502;2496,421.19954,171484.23,
1771,422.2785511612006,21.275,,,,57,,,,,,,41243.67,
2190,423.1909735188537,24.0195,,,,29,,,,,,,65480.754,
1571,423.191680934389,20.058,,,,89,,,,,,,16246.709,
711,423.2279787272445,15.574417,,,,90,,,,,,,11063.27,
2081,424.2212654865107,23.301167,,,,36,,,,,,,8726.281,
1939,425.2058674067163,22.2525,,,,31,,,,,,,45090.277,
2124,427.1862911092605,23.5785,,,,14,,,,,,,13970.049,
2434,427.18958240139193,26.638334,,,,112,,,,,,,21710.367,
1034,427.22270861565914,17.255333,,,,26,,,,,,,19277.133,
2508,429.2009043579335,28.310167,,,,156,,,,,,,4639.1475,
2307,429.2066150888361,24.862833,,,,127,,,,,,,11932.188,
2376,429.2067085844391,25.777666,,,,113,,,,,,,71757.1,
2308,431.2215249608506,24.862833,,,,127,,,,,,,29420.264,
2162,431.22166232298633,23.8205,,,,91,,,,,,,20938.932,
2467,433.1726007127387,27.177,,,,24,,,,,,,25729.541,
2299,433.17353949100817,24.780167,,,,43,21,[M+Na]+,,2,2294;2299,410.18393,18777.658,
2323,433.1745718708823,25.174334,,,,,,,,,,,10778.655,
1854,434.25440528067236,21.738,,,,19,,,,,,,25271.293,
149,435.15791286873235,11.13085,,,,,,,,,,,20361.805,
1595,435.2446521384795,20.271,,,,97,,,,,,,17795.443,
2254,436.29520103098014,24.3725,,,,2,,,,,,,257288.77,
2481,437.20566709775386,27.682833,,,,59,,,,,,,4739.9253,
1986,437.20632857184654,22.7125,,,,72,,,,,,,50385.605,
2082,438.23706974743845,23.301167,,,,36,,,,,,,53367.934,
336,438.2387843505347,13.258966,,,,37,,,,,,,14141.001,
1591,440.2880669482903,20.229,,,,77,,,,,,,9182.763,
2146,441.17046568101796,23.701,,,,49,,,,,,,26973.625,
2448,441.201648453047,26.959333,,,,99,,,,,,,13718.028,
1250,442.2502254112906,18.397667,,,,102,,,,,,,18627.912,
1949,443.1827899345445,22.3395,,,,82,,,,,,,5730.4707,
2063,443.18562465631396,23.264166,,,,36,,,,,,,54889.19,
963,443.217900058619,16.899834,,,,88,,,,,,,18120.443,
2497,444.18856997269813,28.035166,,,,110,28,[M+Na]+,,2,2497;2496,421.19954,40734.65,
1880,445.2019957814298,21.8675,,,,124,,,,,,,9172.243,
