formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C21H35NO	[M + H]+	C21H36NO+	168,336	168,336	0,000	37	0,876	0,012	1,590	1,661		318,280	1338	623206629699798313	623205678607809027	40
1	C21H33NO	[M + H]+	C21H34NO+	173,326	173,326	0,000	44	0,906	0,472	2,299	0,502		316,264	1338	623206613681750815	623205678649752072	41
1	C22H37NO	[M + H]+	C22H38NO+	160,731	160,731	0,000	34	0,866	-0,309	0,670	0,147		332,295	1338	623206662826412599	623205678712666637	42
1	C22H37NO2	[M - H2O + H]+	C22H36NO+	159,704	159,704	0,000	42	0,891	-0,337	1,564	-54531,282		330,279	1338	623206662671223324	623205678758803986	43
1	C22H37NO	[M + H]+	C22H38NO+	157,010	157,010	0,000	33	0,861	0,699	0,851	0,418		332,295	1338	623206618614252508	623205678804941335	44
1	C30H42N4O2	[M + H]+	C30H43N4O2+	61,327	61,327	0,000	36	0,831	-3,235	3,235	-0,556		491,338	1338	623206702877822145	623205678859467292	45
1	C21H20O12	[M + H]+	C21H21O12+	91,124	91,124	0,000	34	0,788	-1,716	2,517	0,210		465,103	1338	623206680757062483	623205678918187553	46
1	C16H14O4	[M + H]+	C16H15O4+	79,058	79,058	0,000	14	0,671	-0,767	4,898	0,201		271,097	1338	623206621604791338	623205678964324902	47
1	C27H35NO12	[M + H]+	C27H36NO12+	108,858	108,858	0,000	39	0,891	-1,943	2,160	-0,163		566,223	1338	623206614398976848	623205679006267947	48
1	C16H19NO2	[M + H]+	C16H20NO2+	103,723	103,723	0,000	31	0,825	-0,811	1,438	-0,137		258,149	1338	623206659668101530	623205679064988208	49
1	C10H10O4	[M + H]+	C10H11O4+	116,561	116,561	0,000	13	0,736	1,365	4,812	-0,437		195,065	1338	623206674536909606	623205679111125557	50
1	C21H34O	[M + H3N + H]+	C21H38NO+	158,662	158,662	0,000	33	0,866	-0,125	1,038	-0,254		320,295	1338	623206694677957599	623205679161457210	51
1	C16H12O5	[M + H]+	C16H13O5+	98,779	98,779	0,000	36	0,861	-0,464	1,443	1,298		285,076	1338	623206633243985360	623205679207594559	52
1	C21H20O12	[M + H]+	C21H21O12+	122,297	122,297	0,000	40	0,873	4,100	4,100	0,425		465,103	1338	623206697504918612	623205679249537604	53
1	C16H12O7	[M + H]+	C16H13O7+	132,406	132,406	0,000	39	0,861	-0,202	0,854	0,223		317,066	1338	623206714160500047	623205679295674953	54
1	C15H10O6	[M + H]+	C15H11O6+	136,432	136,432	0,000	44	0,897	-2,282	3,062	-0,050		287,055	1338	623206635303388743	623205679337617998	55
1	C15H24N2O	[M + H]+	C15H25N2O+	163,339	163,339	0,000	42	0,862	0,280	1,091	-0,240		249,196	1338	623206667272374959	623205679383755347	56
1	C25H37NO	[M + K]+	C25H37KNO+	33,976	33,976	0,000	7	0,405	-5,730	5,730	-6,579		406,248	1338	623206663883377249	623205679429892696	57
1	C16H23NO6	[M + H]+	C16H24NO6+	108,257	108,257	0,000	34	0,851	2,706	2,817	-1,729		326,159	1338	623206636389713540	623205679476030045	58
1	C21H20O12	[M + H]+	C21H21O12+	122,081	122,081	0,000	40	0,839	0,413	2,952	-0,091		465,103	1338	623206695843974161	623205679517973090	59
1	C31H43N5O2	[M + H]+	C31H44N5O2+	105,782	105,782	0,000	49	0,884	-1,336	2,761	-3,149		518,347	1338	623206879088922789	623205679555721831	60
1	C12H16N2O	[M + H]+	C12H17N2O+	94,708	94,708	0,000	29	0,755	-0,268	2,120	0,636		205,134	1338	623207058315728222	623205679593470572	61
1	C19H34O3	[M + H3N + H]+	C19H38NO3+	100,744	100,744	0,000	35	0,807	0,509	1,381	-0,093		328,285	1338	623207059364304253	623205679635413617	62
1	C11H14N2	[M + H]+	C11H15N2+	67,975	67,975	0,000	19	0,852	2,049	2,633	1,742		175,123	1338	623207059553047957	623205679677356662	63
1	C9H6O3	[M + H]+	C9H7O3+	29,236	29,236	0,000	3	0,837	-1,613	1,613	0,365		163,039	1338	623207073050319013	623205679731882619	64
1	C13H9NO	[M + H]+	C13H10NO+	83,139	83,139	0,000	26	0,812	0,229	1,573	0,457		196,076	1338	623207073939511510	623205679794797184	65
1	C22H23NO3	[M + H]+	C22H24NO3+	58,888	58,888	0,000	26	0,708	-2,821	4,003	-0,514		350,175	1338	623207098664937512	623205679836740229	66
1	C18H16O7	[M + H]+	C18H17O7+	217,541	217,541	0,000	48	0,922	-0,356	0,468	-1,505		345,096	1338	623207076258962255	623205679908043402	67
1	C7H6O3	[M + H]+	C7H7O3+	21,897	21,897	0,000	1	0,378	-2,990	2,990	1,651		139,039	1338	623207072844798080	623205679954180751	68
1	C13H17NO3	[M - H2O + H]+	C13H16NO2+	111,972	111,972	0,000	33	0,741	-3,418	5,266	-82573,910		218,117	1338	623207084051981983	623205679991929492	69
1	C11H16N2O2	[M + H]+	C11H17N2O2+	136,163	136,163	0,000	40	0,861	-0,620	4,570	-2,220		209,128	1338	623207088741214049	623205680033872537	70
1	C37H42N2O6	[M + H]+	C37H43N2O6+	15,805	15,805	0,000	24	0,824	-0,014	1,026	-0,153		611,311	1338	623207095351437265	623205680075815582	71
1	C18H35NO3	[M + H]+	C18H36NO3+	111,817	111,817	0,000	38	0,830	0,014	0,636	-0,701		314,269	1338	623207098274867214	623205680117758627	72
1	C33H40N4O7	[M + H]+	C33H41N4O7+	145,409	145,409	0,000	51	0,933	0,060	3,991	9,655		605,303	1338	623207107976294318	623205680159701672	73
1	C15H8O6	[M + H]+	C15H9O6+	122,418	122,418	0,000	17	0,576	3,509	5,973	-3,699		285,038	1338	623207101689030766	623205680197450413	74
1	C27H30O16	[M + H]+	C27H31O16+	34,487	34,487	0,000	8	0,960	-1,738	1,738	0,898		611,161	1338	623207143103591237	623205680239393458	75
1	C13H18O7	[M + Na]+	C13H18NaO7+	13,039	13,039	0,000	2	0,201	-1,967	6,011	0,279		309,095	1338	623207103446444215	623205680272947895	76
1	C13H20O3	[M + Na]+	C13H20NaO3+	129,937	129,937	0,000	34	0,825	0,061	0,593	9,043		247,133	1338	623207102855047316	623205680319085244	77
1	C13H17N7O2	[M + H]+	C13H18N7O2+	51,617	51,617	0,000	17	0,936	1,521	2,482	9,241		304,154	1338	623207147801212003	623205680352639681	78
1	C10H8O4	[M + H]+	C10H9O4+	81,111	81,111	0,000	15	0,789	-0,153	1,883	-1,840		193,049	1338	623207144764535739	623205680390388422	79
1	C15H26N2	[M + H]+	C15H27N2+	74,421	74,421	0,000	24	0,737	-0,133	4,128	-0,065		235,217	1338	623207138372416237	623205680524606155	80
1	C32H43NO9	[M + H]+	C32H44NO9+	64,116	64,116	0,000	24	0,774	0,496	1,153	-0,373		586,301	1338	623207142663189282	623205680570743504	81
1	C9H10O5	[M + H]+	C9H11O5+	61,389	61,389	0,000	14	0,828	5,508	5,793	0,855		199,060	1338	623207145611785215	623205680604297941	82
1	C20H24N2O	[M + H]+	C20H25N2O+	121,436	121,436	0,000	47	0,900	1,302	1,668	1,197		309,197	1338	623207131393094267	623205680642046682	83
1	C10H13N5	[M + H]+	C10H14N5+	31,526	31,526	0,000	4	0,697	3,827	3,863	-1,479		204,124	1338	623207145393681381	623205680675601119	84
1	C7H7NO2	[M + H]+	C7H8NO2+	47,590	47,590	0,000	8	0,651	1,877	1,877	0,471		138,055	1338	623207128431915488	623205680713349860	85
1	C11H14O3	[M + H]+	C11H15O3+	205,911	205,911	0,000	39	0,877	-1,074	1,740	-2,157		195,101	1338	623207143950840683	623205680751098601	86
1	C24H27NO3	[M + H]+	C24H28NO3+	88,734	88,734	0,000	34	0,769	-1,311	3,321	-0,503		378,206	1338	623207128687768054	623205680784653038	87
1	C18H16O7	[M + H]+	C18H17O7+	187,301	187,301	0,000	42	0,844	0,214	2,102	-2,026		345,096	1338	623207149382464691	623205680826596083	88
1	C13H18O2	[M + H]+	C13H19O2+	190,951	190,951	0,000	36	0,856	0,993	2,526	0,839		207,138	1338	623207123801403729	623205680864344824	89
1	C24H25N5O5	[M + H3N + H]+	C24H29N6O5+	21,114	21,114	0,000	4	0,943	-3,009	3,962	-2,482		481,218	1338	623207144340910995	623205680897899261	90
1	C39H50N4O3	[M + Na]+	C39H50N4NaO3+	57,433	57,433	0,000	34	0,759	0,432	3,153	-0,019		645,378	1338	623207124887728496	623205680939842306	91
1	C34H47NO10	[M + H3N + H]+	C34H51N2O10+	69,469	69,469	0,000	37	0,737	0,235	4,922	4,615		647,357	1338	623207329053866358	623205680973396743	92
1	C39H60N4O5	[M + K]+	C39H60KN4O5+	98,265	98,265	0,000	44	0,809	-5,204	5,313	4,636		703,423	1338	623207129312719409	623205681006951180	93
1	C40H62N4O6	[M + K]+	C40H62KN4O6+	70,292	70,292	0,000	30	0,688	-0,916	2,790	2,613		733,432	1338	623207151546725614	623205681023728401	94
1	C29H42O7	[M + Na]+	C29H42NaO7+	103,403	103,403	0,000	30	0,531	1,989	4,297	-8,099		525,278	1338	623207152251368726	623205681032117014	95
