Id	cg	cs	ci	tgs	tgi	tsi	K	Ranks K
24	0.535045	0.2193854842426547	0.1312237213064368	0.18072289156626506	0.10714285714285714	0.0963855421686747	4.6142933622396844	669
4	0.54596295	0.0783040506646022	0.1185682494829298	0.0875	0.20238095238095238	0.07142857142857142	4.682488438515165	670
789	0.539868	0.1542038761929813	0.1742914812526979	0.12195121951219512	0.1232876712328767	0.09090909090909091	4.698094042048328	671
22	0.547032	0.0353060972562575	0.2286835511486557	0.025974025974025976	0.125	0.039473684210526314	4.75539968207646	672
582	0.5454939999999999	0.1108178263286653	0.1580484740697219	0.09411764705882353	0.11363636363636363	0.06578947368421052	4.7943651584088105	673
1091	0.508709	0.5	0.068569471217033	0.25	0.0375	0.25	4.934071839021291	674
39	0.50849985	0.5	0.1380949600282377	0.25	0.023255813953488372	0.25	5.0126127000352945	675
1323	0.5298696	0.3128687472204006	0.4114973996943056	0.13953488372093023	0.09433962264150944	0.18181818181818182	5.034442866522532	676
2312	0.5576409999999999	0.0092852597230704	0.2349060735091842	0.058823529411764705	0.1956521739130435	0.06521739130434782	5.1224857411941525	677
552	0.5582352	0.0770140381301245	0.1006399969608767	0.05357142857142857	0.014705882352941176	0.041666666666666664	5.147743091526408	678
1966	0.55789305	0.0157782407403503	0.2919962972999952	0.1925925925925926	0.11594202898550725	0.125	5.220162973475871	679
619	0.558721	0.0481458158083382	0.2296879914307142	0.1875	0.08247422680412371	0.10101010101010101	5.2563145288092405	680
2290	0.5623961999999999	0.1111532333147123	0.1160890071091202	0.0958904109589041	0.125	0.08461538461538462	5.418842342173177	681
25	0.5172102000000001	0.5	0.2016816221377153	0.25	0.05660377358490566	0.25	5.440510027672147	682
1476	0.5711558	0.0343158492074933	0.0311638724637699	0.08571428571428572	0.0859375	0.044444444444444446	5.470976463598446	683
247	0.5695774499999999	0.0141546713906051	0.2553048795730357	0.06060606060606061	0.140625	0.05970149253731343	5.637615777942803	684
2222	0.52573855	0.5	0.1088785432390863	0.25	0.125	0.25	5.665640179048857	685
828	0.47795572499999994	0.6482456829052453	0.0693259793630772	0.12222222222222222	0.11904761904761904	0.08791208791208792	5.669800132308753	686
2366	0.571934025	0.0139581446373408	0.2144514613595356	0.1276595744680851	0.20238095238095238	0.13541666666666666	5.680320688292772	687
1779	0.5099739999999999	0.547584062331199	0.2457824319250258	0.17647058823529413	0.125	0.05555555555555555	5.682028663218268	688
2177	0.5788755	0.0153638313267789	0.1589144173739993	0.13380281690140844	0.10714285714285714	0.11224489795918367	5.892072600034447	689
7	0.5284008	0.5	0.2393246856487581	0.25	0.17647058823529413	0.25	5.9351878570609475	690
632	0.56167515	0.3669720673584303	0.1949748694468194	0.07228915662650602	0.07142857142857142	0.2891566265060241	6.1281547552046005	691
62	0.581495	0.0277927116401826	0.2495154988422854	0.10909090909090909	0.27906976744186046	0.15384615384615385	6.141176152653312	692
541	0.536773	0.5	0.1850367712268433	0.25	0.1518987341772152	0.25	6.202215964033554	693
531	0.482976	0.6578333158469858	0.1973124331831993	0.24731182795698925	0.12871287128712872	0.11578947368421053	6.2223468584187165	694
847	0.326338	0.5554008825920846	0.2374258113529692	1.0	0.19047619047619047	0.19047619047619047	6.6317672078278544	695
248	0.584669	0.3072330084090811	0.1615516144075541	0.37662337662337664	0.17391304347826086	0.21839080459770116	6.856782039032145	696
667	0.467017	0.7292934736289808	0.2018362025297566	0.24731182795698925	0.12871287128712872	0.11578947368421053	7.018844725741813	697
2513	0.60322245	0.0168824806514737	0.1869385266294838	0.07017543859649122	0.16363636363636364	0.07272727272727272	7.033675359915538	698
2276	0.6045543499999999	0.0144533754763206	0.1323126604277889	0.06707317073170732	0.15789473684210525	0.09868421052631579	7.06587226422553	699
1965	0.60460565	0.0485095382426444	0.1103032498463213	0.09146341463414634	0.11363636363636363	0.0875	7.1276049079145105	700
2065	0.5910712	0.3443382856140847	0.1896596641498051	0.09523809523809523	0.10576923076923077	0.058823529411764705	7.240768294222469	701
458	0.562822	0.5	0.189231612012774	0.25	0.08333333333333333	0.25	7.24941951501597	702
1107	0.605901	0.3549891556992737	0.0376954758628163	0.4794520547945205	0.17391304347826086	0.21348314606741572	7.9066722340767095	703
973	0.614648	0.0351688048316699	0.1522120884811965	0.10975609756097561	0.09090909090909091	0.08	7.950027122680666	704
30	0.467306775	0.7858345809801872	0.045911587172617	0.4069767441860465	0.10679611650485436	0.09523809523809523	7.966352103569516	705
2440	0.40020630000000007	0.8708923839626562	0.1500288240702513	0.08571428571428572	0.08176100628930817	0.09401709401709402	7.999790508874144	706
