Index	Element	x	y	z
1	C	2.494202	-1.254754	-0.454913
2	C	1.241119	-1.405889	0.168644
3	C	1.080651	-0.906308	1.468236
4	C	2.123666	-0.277788	2.16055
5	C	3.35699	-0.136699	1.519428
6	C	3.537362	-0.635413	0.217358
7	N	4.540639	0.452973	2.003924
8	C	4.931658	-0.247189	-0.238453
9	C	5.62961	-0.101295	1.163356
10	C	5.759398	-1.227345	-1.105936
11	C	6.030874	-1.533663	1.64563
12	C	7.142396	-2.127928	0.743848
13	C	7.225097	-1.293583	-0.550046
14	N	5.596787	-0.750879	-2.480913
15	C	6.525953	-1.345217	-3.440905
16	C	7.996807	-1.29993	-2.990622
17	C	8.140699	-1.945664	-1.603169
18	C	4.802988	1.040621	-1.143402
19	C	5.498903	0.710323	-2.476489
20	C	7.750194	0.109173	-0.131815
21	C	6.983122	0.669294	1.102912
22	C	6.955628	2.194487	1.117514
23	O	7.079686	2.931018	0.155942
24	O	6.836783	2.662966	2.374501
25	C	6.806067	4.097034	2.518855
26	C	4.707233	0.546873	3.45002
27	C	0.086694	-2.089687	-0.551192
28	C	-1.069153	-1.161901	-0.90028
29	C	-2.310226	-1.281515	-0.248043
30	C	-0.917029	-0.164099	-1.872954
31	C	-1.960982	0.701541	-2.221023
32	C	-3.184535	0.564361	-1.560526
33	C	-3.354225	-0.431695	-0.583997
34	N	-4.367318	1.30706	-1.74022
35	C	-4.742743	-0.261794	0.015254
36	C	-5.450496	0.456025	-1.198941
37	C	-5.596618	-1.495674	0.404204
38	C	-5.854802	-0.653785	-2.225491
39	C	-6.946068	-1.583398	-1.637106
40	C	-7.058251	-1.322443	-0.118629
41	N	-5.414411	-1.630373	1.915666
42	C	-6.462919	-2.504642	2.559401
43	C	-7.894218	-2.239017	2.102777
44	C	-7.994353	-2.325983	0.574467
45	C	-4.591991	0.541597	1.367994
46	C	-5.402535	-0.210749	2.423856
47	C	-7.603181	0.12771	0.019427
48	C	-6.794825	1.148485	-0.832614
49	C	-6.74243	2.522527	-0.169449
50	O	-6.871466	2.752825	1.019281
51	O	-6.590819	3.496368	-1.084104
52	C	-6.530307	4.844451	-0.574807
53	C	-4.54852	1.995941	-3.013531
54	O	-4.178762	-2.18109	2.168169
55	H	2.646695	-1.629344	-1.465541
56	H	0.116995	-1.015772	1.96137
57	H	1.967171	0.07868	3.174161
58	H	5.358438	-2.25064	-1.055923
59	H	6.362988	-1.477486	2.687674
60	H	5.13994	-2.168702	1.629862
61	H	8.114632	-2.115621	1.252853
62	H	6.924339	-3.176608	0.507743
63	H	6.237038	-2.396979	-3.588428
64	H	6.393112	-0.841255	-4.4054
65	H	8.620835	-1.830562	-3.721068
66	H	8.353623	-0.262201	-2.970038
67	H	7.87329	-3.010107	-1.685512
68	H	9.184902	-1.913537	-1.263493
69	H	5.228281	1.930999	-0.686182
70	H	3.742552	1.240105	-1.313812
71	H	4.910377	1.043727	-3.341251
72	H	6.474842	1.217942	-2.549003
73	H	8.815719	0.026628	0.115478
74	H	7.677488	0.826978	-0.94974
75	H	7.526019	0.404084	2.016694
76	H	6.70078	4.279201	3.587807
77	H	7.733392	4.536476	2.144157
78	H	5.957854	4.516699	1.972937
79	H	4.605925	-0.422868	3.961928
80	H	3.948665	1.224222	3.855864
81	H	5.684001	0.973771	3.677387
82	H	-0.300571	-2.908004	0.069307
83	H	0.47482	-2.55541	-1.466291
84	H	-2.477805	-2.029126	0.522393
85	H	0.038899	-0.061606	-2.382703
86	H	-1.81447	1.449861	-2.993869
87	H	-5.193425	-2.436235	0.025277
88	H	-6.207695	-0.175036	-3.14446
89	H	-4.960887	-1.226704	-2.487999
90	H	-6.70177	-2.635598	-1.82439
91	H	-7.920486	-1.396034	-2.103628
92	H	-6.149317	-3.515667	2.28969
93	H	-6.325617	-2.382883	3.636377
94	H	-8.53818	-2.993337	2.569833
95	H	-8.249652	-1.267127	2.465287
96	H	-7.72439	-3.343659	0.259125
97	H	-9.026793	-2.157346	0.245111
98	H	-3.539307	0.533629	1.648986
99	H	-4.910996	1.578369	1.292274
100	H	-6.420706	0.167886	2.527212
101	H	-4.929418	-0.248427	3.404384
102	H	-7.620422	0.468298	1.054409
103	H	-8.646274	0.124492	-0.315794
104	H	-7.316086	1.323767	-1.779548
105	H	-5.682245	4.955997	0.104775
106	H	-7.454704	5.092733	-0.048429
107	H	-6.405255	5.479996	-1.450647
108	H	-5.521077	2.487713	-3.028264
109	H	-3.785114	2.774443	-3.110933
110	H	-4.465596	1.326623	-3.883895
