Index	Element	x	y	z
1	C	-1.776617	1.869514	-1.207629
2	C	-1.092502	3.093082	-1.045758
3	C	-1.534892	3.974865	-0.054099
4	C	-2.637653	3.688347	0.764673
5	C	-3.294835	2.470019	0.591184
6	C	-2.85869	1.563384	-0.399641
7	N	-4.419608	1.969021	1.270625
8	C	-3.69953	0.30708	-0.243309
9	C	-4.991319	0.942852	0.365178
10	C	-4.099106	-0.558281	-1.466958
11	C	-5.788133	1.64004	-0.790429
12	C	-6.266214	0.623701	-1.856573
13	C	-5.634535	-0.744377	-1.557226
14	N	-3.480513	-1.853242	-1.236316
15	C	-3.570655	-2.761622	-2.356731
16	C	-5.063939	-3.056491	-2.597428
17	C	-5.905677	-1.765172	-2.686585
18	C	-2.864466	-0.691975	0.640467
19	C	-2.309477	-1.680392	-0.399815
20	C	-6.155705	-1.216781	-0.174261
21	C	-5.983323	-0.117816	0.92981
22	C	-5.713833	-0.62838	2.343583
23	O	-5.736883	0.083948	3.330623
24	O	-5.516245	-1.959533	2.423254
25	C	-5.319673	-2.487859	3.749904
26	C	-5.289228	2.910402	1.962547
27	C	0.111974	3.431114	-1.911986
28	C	1.448174	3.033719	-1.296698
29	C	1.771149	1.673466	-1.116158
30	C	2.376147	3.999343	-0.893905
31	C	3.605546	3.655721	-0.309082
32	C	3.901866	2.303842	-0.138381
33	C	2.975667	1.32008	-0.534506
34	N	5.054769	1.717611	0.417537
35	C	3.618704	-0.041249	-0.31451
36	C	4.648849	0.35109	0.815748
37	C	2.780064	-1.239557	0.200967
38	C	3.867166	0.373326	2.171023
39	C	3.396496	-1.049898	2.562583
40	C	3.551803	-1.980572	1.339355
41	N	2.45211	-2.0512	-1.051951
42	C	2.003435	-3.458979	-0.743444
43	C	2.847025	-4.191105	0.295573
44	C	2.937692	-3.36813	1.586659
45	C	4.186947	-0.540851	-1.701976
46	C	3.705655	-1.980683	-1.887318
47	C	5.082698	-2.09039	1.085258
48	C	5.775894	-0.698098	1.040015
49	C	6.969217	-0.690622	0.088124
50	O	7.137096	-1.434528	-0.861218
51	O	7.880158	0.225374	0.460934
52	C	9.058933	0.324219	-0.364504
53	C	5.859931	2.532744	1.320761
54	O	1.445804	-1.41744	-1.747738
55	H	-1.457878	1.174965	-1.982122
56	H	-1.020316	4.924761	0.077
57	H	-2.971393	4.413449	1.500741
58	H	-3.744645	-0.096099	-2.411186
59	H	-5.144434	2.396874	-1.246913
60	H	-6.637362	2.172288	-0.348659
61	H	-7.359604	0.532111	-1.85755
62	H	-5.978666	0.959997	-2.860731
63	H	-3.109149	-2.345423	-3.276664
64	H	-3.035081	-3.687706	-2.117515
65	H	-5.189449	-3.63839	-3.519505
66	H	-5.426066	-3.681569	-1.771998
67	H	-5.677374	-1.266907	-3.640603
68	H	-6.974182	-2.018105	-2.719611
69	H	-3.496276	-1.24729	1.334999
70	H	-2.086881	-0.180146	1.212467
71	H	-1.425174	-1.269351	-0.923425
72	H	-2.009445	-2.636348	0.047309
73	H	-7.215614	-1.4855	-0.253567
74	H	-5.613201	-2.115144	0.117415
75	H	-6.93955	0.405346	1.056948
76	H	-5.200517	-3.56297	3.619239
77	H	-4.424917	-2.055012	4.203435
78	H	-6.186617	-2.27021	4.37794
79	H	-5.709354	3.684504	1.301184
80	H	-4.718665	3.41225	2.750849
81	H	-6.098129	2.360387	2.443811
82	H	0.124184	4.508414	-2.1166
83	H	-0.001613	2.931711	-2.883579
84	H	1.095534	0.881619	-1.425976
85	H	2.139235	5.052808	-1.02907
86	H	4.295437	4.432865	0.00523
87	H	1.795394	-0.949723	0.571097
88	H	4.514084	0.794758	2.946979
89	H	3.01209	1.047696	2.068553
90	H	2.352842	-1.034757	2.897744
91	H	3.990752	-1.45027	3.392486
92	H	0.978795	-3.328283	-0.3889
93	H	1.966351	-3.972677	-1.706943
94	H	2.36755	-5.157062	0.492578
95	H	3.845291	-4.419752	-0.096089
96	H	1.926353	-3.243644	1.998534
97	H	3.523569	-3.901889	2.34468
98	H	3.763008	0.085825	-2.486298
99	H	5.270225	-0.478663	-1.772005
100	H	3.399915	-2.220751	-2.904924
101	H	4.432997	-2.7184	-1.544537
102	H	5.314122	-2.628997	0.166446
103	H	5.514247	-2.681763	1.900387
104	H	6.209146	-0.476515	2.020948
105	H	9.600067	-0.624653	-0.367965
106	H	9.66427	1.1091	0.087343
107	H	8.784783	0.591661	-1.387603
108	H	6.688491	1.940525	1.708853
109	H	6.288039	3.370092	0.760381
110	H	5.281896	2.946047	2.161852
