ID	exact | isdb=0.02	exact | isdb=0.002	approxi | isdb=0.02	approxi | isdb=0.002
91	35	34	32	32
92	5	4	4	4
93	12	11	12	11
94	10	10	10	10
95	3	2	3	2
96	21	22	20	21
