ID	6 | 0.02	6 | 0.1	6 | 10	6 | 25	6 | 50	6 | 100	6 | 250	6 | 500	6 | 1000	5 | 0.02	5 | 0.1	5 | 10	5 | 25	5 | 50	5 | 100	5 | 250	5 | 500	5 | 1000	4 | 0.02	4 | 0.1	4 | 10	4 | 25	4 | 50	4 | 100	4 | 250	4 | 500	4 | 1000
73	no match	no match	CCMSLIB00003136666	CCMSLIB00010056000	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	no match	no match	CCMSLIB00003136666	CCMSLIB00010056000	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	no match	CCMSLIB00010010860	CCMSLIB00000479786	CCMSLIB00010056000	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798	CCMSLIB00003136798
15	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00006568941	CCMSLIB00005767275	CCMSLIB00005767275	CCMSLIB00005767275	no match	no match	no match	CCMSLIB00012363794	CCMSLIB00012363794	CCMSLIB00006568599	CCMSLIB00005767275	CCMSLIB00005767275	CCMSLIB00005767275	no match	no match	CCMSLIB00006568633	CCMSLIB00006568633	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313
16	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463504	CCMSLIB00006568853	CCMSLIB00005767492	CCMSLIB00005767492	CCMSLIB00005767492	no match	no match	no match	CCMSLIB00006570581	CCMSLIB00012375196	CCMSLIB00006568949	CCMSLIB00005767492	CCMSLIB00005767492	CCMSLIB00005767492	no match	no match	CCMSLIB00006568633	CCMSLIB00006568633	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313	CCMSLIB00006517313
23	no match	no match	no match	no match	no match	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	CCMSLIB00005463508	no match	no match	CCMSLIB00004710103	CCMSLIB00004710103	CCMSLIB00004710103	CCMSLIB00004710103	CCMSLIB00004710103	CCMSLIB00004710103	CCMSLIB00004710103	no match	no match	CCMSLIB00001059631	CCMSLIB00001059631	CCMSLIB00012267904	CCMSLIB00012267904	CCMSLIB00012267904	CCMSLIB00012267904	CCMSLIB00012267904
24	no match	no match	no match	no match	no match	CCMSLIB00005463504	CCMSLIB00005463505	CCMSLIB00005463505	CCMSLIB00005463505	no match	no match	no match	CCMSLIB00012412402	CCMSLIB00006409969	CCMSLIB00006409969	CCMSLIB00012381582	CCMSLIB00012381582	CCMSLIB00012381582	no match	no match	CCMSLIB00004692678	CCMSLIB00004692678	CCMSLIB00004692678	CCMSLIB00004692678	CCMSLIB00004692678	CCMSLIB00004692678	CCMSLIB00004692678
