formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	formulaId	alignedFeatureId	mappingFeatureId
1	C36H50N6O4	[M + H]+	C36H51N6O4+	86,020	79,501	6,520	40	0,784	1,227	3,308	3,088		631,399	1152	585851255759705368	585822219574342959	1426
1	C33H53N5O7	[M + H]+	C33H54N5O7+	81,891	81,891	0,000	44	0,820	-2,394	4,800	0,039		632,402	1152	585851940731493667	585822219670811956	1427
1	C38H48N6O4	[M + H]+	C38H49N6O4+	68,366	68,366	0,000	22	0,678	0,820	3,146	-3,138		653,379	1152	585851233148211774	585822219763086649	1429
1	C30H50N8O9	[M + H]+	C30H51N8O9+	61,733	61,733	0,000	40	0,724	-1,222	3,174	-4,588		667,374	1155	585851410982509531	585822219834389822	1433
1	C31H51N9O9	[M + H]+	C31H52N9O9+	89,959	89,959	0,000	36	0,769	1,487	4,209	6,091		694,392	1155	585851295190358335	585822219909887299	1434
1	C42H62N6O7S	[M + H]+	C42H63N6O7S+	56,124	51,756	4,368	32	0,771	3,069	4,691	-3,288		795,445	1155	585851277989517046	585822219985384776	1436
1	C16H29N3O5	[M + H]+	C16H30N3O5+	84,675	84,675	0,000	23	0,417	-1,476	6,412	-7,052		344,216	1157	585851217411182554	585822220039910733	1437
1	C38H58N2O9	[M + H]+	C38H59N2O9+	86,164	80,667	5,497	45	0,785	3,507	4,983	4,353		687,425	1157	585853034316573127	585822220111213906	1443
1	C17H30NO3	[M + H]+	C17H31NO3+	45,020	42,402	2,617	16	0,559	0,610	7,067	3,347		297,231	1160	585853495866177843	585822220195099991	1448
1	C15H24N4O4S	[M + H]+	C15H25N4O4S+	86,561	86,561	0,000	32	0,634	0,753	5,332	-1,715		357,158	1160	585853012745266935	585822220274791772	1450
1	C37H50N6O7	[M + H]+	C37H51N6O7+	55,101	49,769	5,332	37	0,741	0,809	3,899	3,335		691,384	1160	585853023210055737	585822220350289249	1451
1	C40H56N6O6	[M + H]+	C40H57N6O6+	109,684	101,929	7,754	51	0,889	2,673	3,905	3,513		717,436	1164	585852986589586372	585822220434175334	1465
1	C40H57N7O9	[M + H]+	C40H58N7O9+	77,227	69,819	7,408	39	0,763	1,307	2,738	2,969		780,431	1164	585853538341894909	585822220513867115	1468
1	C40H57ClN6O6	[M + H]+	C40H58ClN6O6+	61,077	49,020	12,057	50	0,846	2,765	5,585	3,467		753,413	1166	585853179833759490	585822220589364592	1476
1	C39H58N8O12	[M + H]+	C39H59N8O12+	66,003	58,682	7,321	38	0,850	2,547	4,508	5,598		831,429	1166	585853587037764755	585822220664862069	1479
1	C19H30N2O5	[M + H]+	C19H31N2O5+	65,732	65,732	0,000	30	0,736	-4,404	5,517	-11,025		367,219	1169	585852999659037969	585822220736165242	1483
1	C27H39N5O6	[M + H]+	C27H40N5O6+	73,339	73,339	0,000	36	0,847	2,066	4,424	0,471		530,298	1169	585854543695593088	585822220803274111	1485
1	C29H48N4O16	[M + H]+	C29H49N4O16+	22,198	21,947	0,251	15	0,707	-2,621	5,630	-4,057		709,311	1169	585853205226076250	585822220887160196	1487
1	C40H56N6O7	[M + H]+	C40H57N6O7+	86,180	78,605	7,575	38	0,762	-0,435	3,810	3,661		733,431	1169	585853529605159592	585822220971046281	1489
1	C36H48N6O4	[M + H]+	C36H49N6O4+	50,304	50,304	0,000	35	0,756	0,258	3,771	0,333		629,381	1171	585853195256215529	585822221059126670	1496
1	C39H56N6O10	[M + H]+	C39H57N6O10+	72,075	72,075	0,000	39	0,710	-1,529	2,977	-8,589		769,406	1171	585853106651542940	585822221138818451	1499
1	C15H24BN3O4	[M + H]+	C15H25BN3O4+	111,292	111,292	0,000	28	0,600	-1,685	5,043	-8,016		321,194	1174	585853118236210779	585822221218510232	1501
1	C17H28N4O4	[M + H]+	C17H29N4O4+	104,332	103,734	0,597	32	0,641	-0,094	5,757	2,430		353,219	1174	585853022882899979	585822221289813405	1502
1	C16H31N3O3S	[M + H]+	C16H32N3O3S+	85,191	85,191	0,000	31	0,713	1,130	5,200	-10,252		346,212	1181	585852987554276347	585822221382088098	1517
1	C28H54N4O8S2	[M + H]+	C28H55N4O8S2+	95,293	95,293	0,000	37	0,875	2,307	4,876	-7,106		639,341	1181	585853185319909170	585822221457585575	1518
1	C11H21N5O2S	[M + H]+	C11H22N5O2S+	28,164	28,164	0,000	11	0,549	1,510	3,424	0,165		288,149	1188	585852985419375493	585822221524694444	1530
1	C21H39N7O5S	[M + H]+	C21H40N7O5S+	76,900	76,900	0,000	44	0,791	-0,942	3,592	-1,463		502,280	1191	585853568872234010	585822221604386225	1538
1	C16H29N3O5	[M + H]+	C16H30N3O5+	135,162	134,849	0,312	35	0,679	2,530	5,378	-6,994		344,216	1196	585853046375197389	585822221667300790	1547
1	CCl4S6	[M + H]+	CHCl4S6+	-2,642	-2,642	0,000	0	0,000	NaN	NaN	5,677		344,717	1196	585853050229763094	585822221738603963	1548
1	C22H38N4O6S	[M + H]+	C22H39N4O6S+	62,755	57,480	5,275	48	0,827	-2,212	4,871	2,417		487,260	1196	585855269989663678	585822221805712832	1549
1	C31H62N2O14	[M + H]+	C31H63N2O14+	91,672	91,672	0,000	38	0,731	-1,867	2,998	-5,631		687,424	1196	585855342307858239	585822221990262218	1555
1	C13H20N3	[M + H]+	C13H21N3+	40,751	37,617	3,134	6	0,321	1,232	4,295	2,377		219,174	1203	585855455252077128	585822222095119823	1567
1	C17H29NO	[M + H]+	C17H30NO+	42,364	40,949	1,415	7	0,602	-2,203	6,436	-3,031		264,231	1203	585855305016300427	585822222204171732	1568
1	C24H26N2O5	[M + H]+	C24H27N2O5+	102,805	101,677	1,127	40	0,791	0,370	3,727	0,547		423,192	1203	585855333709534959	585822222304835033	1571
1	C38H52N6O7	[M + H]+	C38H53N6O7+	77,051	77,051	0,000	49	0,868	3,912	6,370	-1,211		705,396	1203	585855351837316986	585822222405498334	1576
1	C28H39N5O6	[M + H]+	C28H40N5O6+	108,901	104,428	4,473	50	0,902	0,923	3,770	6,121		542,301	1209	585855418400921725	585822222518744547	1584
1	C18H29NO2	[M + H]+	C18H30NO2+	61,295	61,295	0,000	12	0,397	-1,754	5,644	-2,654		292,226	1211	585855454220278237	585822222631990760	1586
1	C32H48N6O5S	[M + H]+	C32H49N6O5S+	63,100	63,100	0,000	44	0,805	-0,873	3,474	-2,965		629,346	1211	585855450168580476	585822222736848365	1589
1	C14H27ClN2O5	[M + H]+	C14H28ClN2O5+	99,148	99,148	0,000	32	0,558	0,566	4,461	7,235		339,171	1214	585855466220182372	585822222896231922	1590
1	C21H37N5O5	[M + H]+	C21H38N5O5+	39,792	39,792	0,000	31	0,723	1,243	4,302	3,008		440,288	1214	585855323274106395	585822222975923703	1591
1	C18H34N4O8	[M + H]+	C18H35N4O8+	123,297	119,452	3,844	36	0,642	1,885	4,559	-0,667		435,245	1216	585855448612493644	585822223084975612	1595
1	C34H46N8O9	[M + H]+	C34H47N8O9+	43,630	43,630	0,000	43	0,800	1,305	3,310	9,782		711,353	1216	585856222839071074	585822223156278785	1596
1	C41H58N6O6	[M + H]+	C41H59N6O6+	73,445	73,445	0,000	42	0,811	2,220	3,244	0,902		731,450	1216	585856205894082369	585822223235970566	1597
1	C48H64N6O9	[M + H]+	C48H65N6O9+	64,833	61,440	3,393	36	0,712	2,365	5,012	1,835		869,482	1216	585856324563528181	585822223328245259	1601
1	C25H34N4O6	[M + H]+	C25H35N4O6+	77,840	72,797	5,044	42	0,763	0,983	5,250	9,315		487,260	1219	585856295073376676	585822223403742736	1604
1	C11H19N5O2S	[M + H]+	C11H20N5O2S+	48,100	48,100	0,000	16	0,632	1,341	6,621	2,264		286,134	1221	585856412501306123	585822223550543386	1608
1	C11H30N6O8	[M + H]+	C11H31N6O8+	73,079	71,423	1,656	21	0,534	-7,789	7,789	-10,443		375,216	1221	585856645868186693	585822223680566815	1609
1	C27H48N4O13	[M + H]+	C27H49N4O13+	90,842	90,842	0,000	42	0,814	0,390	4,566	-2,156		637,328	1221	585856950261411358	585822223772841508	1613
1	C27H44N12O11	[M + H]+	C27H45N12O11+	69,563	69,563	0,000	45	0,795	1,579	3,715	8,808		713,339	1221	585857079563416155	585822223852533289	1614
1	C40H56N6O8	[M + H]+	C40H57N6O8+	68,044	68,044	0,000	46	0,835	-1,421	3,319	-0,533		749,423	1221	585857078141547047	585822223936419374	1615
1	C6H9NO2S7	[M + H]+	C6H10NO2S7+	1,023	1,023	0,000	1	0,027	-0,124	0,124	7,298		351,878	1229	585857024529952918	585822224011916851	1625
1	C21H33N5O2S	[M + H]+	C21H34N5O2S+	84,308	84,308	0,000	32	0,652	0,707	4,913	-7,740		420,240	1229	585857089709437746	585822224095802936	1629
1	C47H62N6O8	[M + H]+	C47H63N6O8+	79,375	75,361	4,014	43	0,758	0,733	3,441	2,193		839,472	1229	585857589326543181	585822224175494717	1637
1	C16H24NO4	[M + H]+	C16H25NO4+	33,935	33,935	0,000	13	0,383	4,216	5,261	7,183		295,180	1231	585857593210468811	585822224443930178	1638
