row ID,row m/z,row retention time,1.mzXML Peak area
1,265.19177,0.6278333333333334,0
2,304.30036,2.8281666666666667,0
3,346.3101,3.7155,0
4,330.27918,2.134,0
5,222.15989,1.5338333333333334,0
6,254.12878,1.1358333333333335,0
7,420.21508,1.9263333333333332,0
8,262.10906,1.9321666666666668,0
9,197.08149,1.996,0
10,503.38552,1.6571666666666667,0
11,371.14781,2.8256666666666663,0
12,181.04962,1.3123333333333334,0
13,195.08801,1.1780000000000002,0
14,347.22383,0.8416666666666667,0
15,431.21821,1.3151666666666666,0
16,429.23891,1.5805,0
17,224.07094,2.283333333333333,0
18,315.27987,1.5325,0
19,357.32668,1.3738333333333335,0
20,329.29541,1.1756666666666669,0
21,208.09682,1.4546666666666668,0
22,287.05521,1.3843333333333334,0
23,619.32567,2.3131666666666666,0
24,390.18161,1.8876666666666668,0
25,191.11816,0.5063333333333333,0
26,223.13318,1.6543333333333334,0
27,304.30061,2.8281666666666667,0
28,399.14428,2.7495,0
29,391.24865,1.5859999999999999,0
30,206.14079,1.2468333333333335,0
31,594.25497,1.9344999999999999,0
32,276.1702,1.2266666666666666,0
33,318.27919,2.2035,0
34,409.1496,2.0003333333333333,0
35,425.14411,1.9976666666666667,0
36,441.13725,1.6526666666666665,0
37,413.23,2.0038333333333336,0
38,803.41879,2.2816666666666667,0
39,318.28009,1.6651666666666667,0
40,316.26507,1.9998333333333334,0
