row ID,row m/z,row retention time,1.mzXML Peak area
1,265.19177,0.6278333333333334,0
2,304.30036,2.8281666666666667,0
3,346.3101,3.7155,0
4,330.27918,2.134,0
5,222.15989,1.5338333333333334,0
6,254.12878,1.1358333333333335,0
7,420.21508,1.9263333333333332,0
8,262.10906,1.9321666666666668,0
9,197.08149,1.996,0
10,503.38552,1.6571666666666667,0
11,371.14781,2.8256666666666663,0
12,181.04962,1.3123333333333334,0
13,195.08801,1.1780000000000002,0
14,347.22383,0.8416666666666667,0
15,431.21821,1.3151666666666666,0
16,429.23891,1.5805,0
17,224.07094,2.283333333333333,0
18,315.27987,1.5325,0
19,357.32668,1.3738333333333335,0
20,329.29541,1.1756666666666669,0
21,208.09682,1.4546666666666668,0
22,287.05521,1.3843333333333334,0
23,619.32567,2.3131666666666666,0
24,390.18161,1.8876666666666668,0
25,191.11816,0.5063333333333333,0
26,223.13318,1.6543333333333334,0
27,304.30061,2.8281666666666667,0
28,399.14428,2.7495,0
29,391.24865,1.5859999999999999,0
30,206.14079,1.2468333333333335,0
31,594.25497,1.9344999999999999,0
32,276.1702,1.2266666666666666,0
33,318.27919,2.2035,0
34,409.1496,2.0003333333333333,0
35,425.14411,1.9976666666666667,0
36,441.13725,1.6526666666666665,0
37,413.23,2.0038333333333336,0
38,803.41879,2.2816666666666667,0
39,318.28009,1.6651666666666667,0
40,316.26507,1.9998333333333334,0
41,318.28039,2.0091666666666668,0
42,316.26403,1.9303333333333332,0
43,332.29616,2.0708333333333333,0
44,330.27968,2.007166666666667,0
45,332.29585,2.0711666666666666,0
46,491.33806,1.1335000000000002,0
47,465.10283,1.4601666666666666,0
48,271.0966,3.1646666666666667,0
49,566.22293,1.5043333333333335,0
50,258.14883,1.595,0
51,195.06537,1.6603333333333334,0
52,320.29573,2.068166666666667,0
53,285.07616,1.7890000000000001,0
54,465.10493,1.4481666666666666,0
55,317.06603,2.2733333333333334,0
56,287.05532,2.2671666666666668,0
57,249.19614,0.856,0
58,406.2493,2.418,0
59,326.16003,1.0178333333333334,0
60,465.10289,1.4520000000000002,0
61,518.34783,1.9308333333333332,0
62,205.13374,0.4905,0
63,328.285,7.252,0
64,175.12322,1.1903333333333335,0
65,163.03905,1.5878333333333332,0
66,196.0759,2.5551666666666666,0
67,350.17552,1.5853333333333335,0
68,345.09724,3.3008333333333337,0
69,139.03891,1.2448333333333332,0
70,218.11749,0.8691666666666666,0
71,209.12864,1.2570000000000001,0
72,611.31195,1.3886666666666665,0
73,314.26956,2.000166666666667,0
74,605.3122,22.2883,0
75,285.03921,3.2218333333333335,0
76,611.15991,1.3843333333333334,0
77,309.09461,2.0723333333333334,0
78,247.1334,2.3474999999999997,0
79,304.15447,1.1215000000000002,0
80,193.04988,1.9943333333333333,0
81,235.21705,0.7798333333333333,0
82,586.30168,3.0829999999999997,0
83,199.0609,1.3268333333333333,0
84,309.19686,1.5323333333333333,0
85,204.12476,1.3299999999999998,0
86,138.05553,0.36816666666666664,0
87,195.10165,3.2239999999999998,0
88,378.20627,2.0601666666666665,0
89,345.09711,4.329833333333334,0
90,207.13812,1.4523333333333333,0
