Id	cg	cs	ci	tgs	tgi	tsi	K	Ranks K
89	0.0	0.015359689668441	0.0089331549342286	0.0	0.0	0.09154929577464789	-5.450434332161112	8
2535	0.0	0.0063341590108414	0.028060933686501	0.0	0.0	0.10256410256410256	-5.44908843536477	9
105	0.0	0.0138237458716298	0.014664245611953	0.0	0.0	0.043478260869565216	-5.4471103283059845	10
43	0.0	0.0193134979885595	0.0052423243852793	0.0	0.0	0.09523809523809523	-5.445163349547002	11
98	0.0	0.0054281143054367	0.0330200000561891	0.0	0.0	0.1320754716981132	-5.445154714166172	12
1958	0.0	0.000751452469129063	0.0437433968043083	0.0	0.0	0.04854368932038835	-5.443442122821792	13
2227	0.0	0.0042769484895796	0.0424961065998904	0.0	0.0	0.05263157894736842	-5.4361874955261875	14
2512	0.0	0.0021023975912206	0.0504067980982347	0.0	0.0	0.07964601769911504	-5.4317355083991545	15
1254	0.0	0.0047429919821525	0.0459314877500154	0.0	0.0	0.049586776859504134	-5.430728160357099	16
398	0.0	0.0076868600474462	0.0404498448347153	0.0	0.0	0.08163265306122448	-5.43022054383799	17
2155	0.0	0.0030499107304938	0.0547159332779302	0.0	0.0	0.1015625	-5.423980306576353	18
149	0.0	0.0282272151955085	0.0051028893955354	0.0	0.0	0.12149532710280374	-5.42305335026681	19
1601	0.0	0.0026272423328378	0.056892748953103	0.0	0.0	0.0546875	-5.422315957976527	20
36	0.0	0.0168631729637939	0.0286129891908509	0.0	0.0	0.04225352112676056	-5.422075831101952	21
1937	0.0	0.0235981803218696	0.0152109136636742	0.0	0.0	0.11728395061728394	-5.421990907115733	22
96	0.0	0.0056251057845083	0.0521730174339152	0.0	0.0	0.05128205128205128	-5.420720963746335	23
2531	0.0	0.0104063343410149	0.0439098796103481	0.0	0.0	0.1	-5.4190968146345275	24
1538	0.0	0.0265681980826609	0.0121033839015725	0.0	0.0	0.08256880733944955	-5.418450274916382	25
2509	0.0	0.0095861503151094	0.0461539257967637	0.0	0.0	0.11392405063291139	-5.418342216966272	26
109	0.0	0.0129495902842226	0.0398271916835834	0.0	0.0	0.10317460317460317	-5.4178420346849645	27
2354	0.0	0.0317913051095248	0.003729994045973	0.0	0.0	0.07228915662650602	-5.415859244668722	28
2504	0.0	0.0238322317723209	0.0209829620246605	0.0	0.0	0.06593406593406594	-5.4141907180383715	29
1184	0.0	0.0263033775150293	0.0161281181581841	0.0	0.0	0.08823529411764706	-5.414081408514696	30
201	0.0	0.0326182902192093	0.0046257814881209	0.0	0.0	0.09	-5.412672047591825	31
1771	0.0	0.0216918002332039	0.026933927657645	0.0	0.0	0.08045977011494253	-5.412103089844933	32
2243	0.0	0.0078223433165665	0.0568251573070888	0.0	0.0	0.041237113402061855	-5.409412695074723	33
1096	0.0	0.0101305193800235	0.0531932265088322	0.0	0.0	0.07352941176470588	-5.408182168413901	34
2457	0.0	0.0117148760825767	0.0507296088258869	0.0	0.0	0.15079365079365079	-5.4073007987612	35
1433	0.0	0.0297432610841367	0.0172519721302655	0.0	0.0	0.1037037037037037	-5.404076882126827	36
2141	0.0	0.0082056622402058	0.0609903749220445	0.0	0.0	0.08536585365853659	-5.40324787574693	37
2278	0.0	0.0079930184281676	0.0635854612049112	0.0	0.0	0.10101010101010101	-5.400535627423443	38
2256	0.0	0.0329934692910837	0.0137679755461585	0.0	0.0	0.03296703296703297	-5.400306357339593	39
2566	0.0	0.0291865155670662	0.0214972371043791	0.0	0.0	0.09615384615384616	-5.40016216470186	40
2255	0.0	0.0163167890433594	0.0480398512161286	0.0	0.0	0.07692307692307693	-5.39915821337144	41
111	0.0	0.032809263812223	0.0154359009430839	0.0	0.0	0.07647058823529412	-5.398681964290588	42
2088	0.0	0.0395417683245709	0.0029895204799595	0.0	0.0	0.11038961038961038	-5.397408678588623	43
1897	0.0	0.0105574710326068	0.0613314721463127	0.0	0.0	0.07758620689655173	-5.396941982235592	44
2224	0.0	0.0133886652305666	0.055965036932112	0.0	0.0	0.0958904109589041	-5.396572040758444	45
2260	0.0	0.0343679069662475	0.0148836182981385	0.0	0.0	0.07518796992481203	-5.395475709711708	46
1668	0.0	0.0164230836675049	0.0508226076714558	0.0	0.0	0.08490566037735849	-5.395414031241918	47
1719	0.0	0.0177977643532606	0.0498209675716727	0.0	0.0	0.037383177570093455	-5.393229379652257	48
2225	0.0	0.041828838517868	0.0018921576352252	0.0	0.0	0.06956521739130435	-5.393062706661299	49
1780	0.0	0.0048845816603002	0.0764016025955961	0.0	0.0	0.046875	-5.392286542604754	50
2085	0.0	0.038746540245001	0.0089277102367652	0.0	0.0	0.12380952380952381	-5.39197401159154	51
2448	0.0	0.0281164183103217	0.0308409283069377	0.0	0.0	0.1276595744680851	-5.391157793840524	52
1944	0.0	0.0254812566837613	0.0365590101867881	0.0	0.0	0.10795454545454546	-5.390598095557111	53
2045	0.0	0.0395225565106176	0.0086374049767541	0.0	0.0	0.09090909090909091	-5.390396852502513	54
101	0.0	0.035137506636846	0.0189098836964397	0.0	0.0	0.10655737704918032	-5.388518878787335	55
1764	0.0	0.0084698358007255	0.0722891938607965	0.0	0.0	0.0967741935483871	-5.3884639181721905	56
2555	0.0	0.0076403705942248	0.0745551959199187	0.0	0.0	0.09375	-5.387705078614539	57
2418	0.0	0.0110400558170557	0.0692995872876133	0.0	0.0	0.08547008547008547	-5.385775376347844	58
1317	0.0	0.0149178564914106	0.0616722092027561	0.0	0.0	0.08571428571428572	-5.385615097268029	59
2000	0.0	0.0305859311096401	0.0313375613629041	0.0	0.0	0.07	-5.384363220522269	60
1655	0.0	0.0147470245277243	0.0632755576483021	0.0	0.0	0.08256880733944955	-5.384037991620311	61
2404	0.0	0.0428853309411825	0.008215305717196	0.0	0.0	0.05555555555555555	-5.382517540500549	62
1670	0.0	0.0070067083833982	0.0815434064735075	0.0	0.0	0.10344827586206896	-5.38055397094962	63
1306	0.0	0.0307914914121051	0.0364272650691251	0.0	0.0	0.08181818181818182	-5.377487190133332	64
1082	0.0	0.0322386103231021	0.0351225873996524	0.0	0.0	0.09375	-5.375500239942679	65
1476	0.0	0.0343158492074933	0.0311638724637699	0.0	0.0	0.044444444444444446	-5.375255536401554	66
865	0.0	0.0210983149403118	0.0581269547649129	0.0	0.0	0.14925373134328357	-5.374595519193079	67
