ID	exact | isdb=0.02	exact | isdb=0.002	approxi | isdb=0.02	approxi | isdb=0.002
91	35	34	32	32
92	4	3	3	3
93	11	10	11	10
94	9	9	9	9
95	2	2	2	2
96	21	22	20	21
