formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C21H20O12	[M + H]+	C21H21O12+	103,734	102,809	0,925	39	0,828	-0,703	1,929	0,167		465,103	88	1,460	637283888392002254	637283240791455573	47	
1	C27H35NO12	[M + H]+	C27H36NO12+	140,025	139,659	0,366	45	0,845	-1,385	1,758	-0,480		566,223	90	1,504	637283875624540052	637283240959227743	49	
1	C21H34N2	[M + H]+	C21H35N2+	166,663	164,022	2,641	34	0,636	-1,289	5,230	1,251		315,280	92	1,533	637283831525624921	637283234546136772	18	
1	C12H19N3O	[M + H]+	C12H20N3O+	229,413	224,819	4,594	37	0,696	-0,228	4,694	-0,894		222,160	92	1,534	637283801297273222	637283233191376515	5	
1	C24H32N2O5	[M + H]+	C24H33N2O5+	136,741	130,337	6,404	46	0,907	0,773	1,161	1,191		429,239	95	1,581	637283816417740151	637283234361587386	16	
1	C22H23NO3	[M + H]+	C22H24NO3+	109,937	103,661	6,275	41	0,803	-0,026	2,003	1,285		350,176	95	1,585	637283821081806726	637283242200741817	67	
1	C23H34O5	[M + H]+	C23H35O5+	157,710	155,173	2,537	46	0,897	0,291	2,355	1,915		391,249	95	1,586	637283823137016057	637283235494049531	29	
1	C9H6O3	[M + H]+	C9H7O3+	61,095	57,889	3,206	8	0,787	-2,469	2,469	0,488		163,039	95	1,588	637283823392868718	637283242041358255	65	
1	C16H19NO2	[M + H]+	C16H20NO2+	127,697	127,697	0,000	42	0,856	-0,390	1,436	-0,098		258,149	96	1,595	637283803578974794	637283241030530916	50	
1	C20H24O11	[M + H]+	C20H25O11+	182,760	180,369	2,392	51	0,891	-3,386	3,741	-4,280		441,137	99	1,653	637283939914833935	637283237637338910	36	
1	C13H18O3	[M + H]+	C13H19O3+	220,306	214,744	5,562	25	0,580	1,210	4,298	1,385		223,133	99	1,654	637283799833460849	637283235288528620	26	
1	C30H50N2O4	[M + H]+	C30H51N2O4+	114,521	114,521	0,000	39	0,723	0,328	1,855	2,355		503,386	99	1,657	637283816405157233	637283233745024668	10	
1	C10H10O4	[M + H]+	C10H11O4+	129,457	126,584	2,874	24	0,693	-0,430	2,959	0,947		195,065	100	1,660	637283800827511063	637283241080862569	51	
