row ID,row m/z,row retention time,1.mzXML Peak area
1,265.1908615,0.730316666666667,0
2,346.3103033,2.2414,0
3,330.2790364,2.22528333333333,0
4,481.2182,721.696,0
7,645.3775005,24.8507833333333,0
8,647.3568054,13.4993,0
10,703.4227905,12.6745,0
11,733.3602905,18.1874,0
13,195.0651016,1.67175,0
14,222.1597604,1.5397,0
16,254.1288312,1.26696666666667,0
17,420.2172241,1.89223333333333,0
18,262.1088596,1.91518333333333,0
20,197.080777,2.02456666666667,0
21,503.3842068,1.82815,0
22,304.299793,2.98776666666667,0
23,371.1490702,2.9169,0
25,181.0497589,1.38645,0
26,195.0877666,1.20658333333333,0
27,347.2231179,0.8703,0
28,431.2174886,1.34931666666667,0
29,429.2377686,1.60343333333333,0
30,224.0705536,2.31755,0
31,315.2786407,1.56661666666667,0
32,357.3261312,1.39683333333333,0
33,329.2958114,1.27813333333333,0
34,208.0967157,1.48321666666667,0
35,287.0551046,1.41843333333333,0
36,619.3236389,2.43343333333333,0
37,390.1808573,1.94493333333333,0
38,191.1181208,0.398333333333333,0
39,269.0808614,2.7471,0
40,223.1325972,1.67735,0
41,304.2997651,2.99336666666667,0
42,399.1433716,3.13678333333333,0
43,391.248057,1.60893333333333,0
44,206.1400117,1.3492,0
45,276.1707382,1.33466666666667,0
46,318.2787335,2.22085,0
47,409.1497362,2.04603333333333,0
48,425.1444041,2.04338333333333,0
49,441.1392473,1.6642,0
50,413.2299906,2.01531666666667,0
51,803.4182739,2.53796666666667,0
52,318.2792908,1.6254,0
53,316.2635153,2.09671666666667,0
54,318.2796725,2.1915,0
55,316.2636525,2.23216666666667,0
56,332.2948382,2.16768346354167,0
57,330.2791617,2.29181666666667,0
58,332.2949295,2.16801653645833,0
59,491.3377845,1.1721,0
60,465.1028544,1.49443333333333,0
61,271.0965373,3.22643333333333,0
64,566.223114,1.53533333333333,0
65,258.1488249,1.5488,0
66,320.2947133,2.0285,0
67,285.0761185,1.81756666666667,0
68,465.102948,1.4824,0
69,317.0656494,2.30191666666667,0
70,287.0550028,2.3014,0
71,249.1960763,0.90235,0
72,406.2480038,2.51483333333333,0
73,326.1592529,1.03526666666667,0
74,465.102712,1.50333333333333,0
75,205.133667,0.529116666666667,0
76,328.2845898,7.37238333333333,0
77,175.1232808,1.20186666666667,0
78,518.3473227,1.96508333333333,0
79,163.0390269,1.61071666666667,0
80,196.0757809,2.65765,0
81,350.1748889,1.61395,0
82,345.0963597,3.33495,0
83,139.0391998,1.31905,0
85,218.1173248,0.886516666666667,0
86,209.1279925,1.35391666666667,0
87,611.3114726,1.41725,0
88,314.2687531,2.01748333333333,0
89,605.3028158,22.2883,0
90,525.2780228,20.1918666666667,0
91,285.0383148,3.26745,0
92,611.1612105,1.40723333333333,0
93,309.0945587,2.04943333333333,0
94,247.1326974,2.30778333333333,0
95,304.1544596,1.2183,0
96,193.0491829,2.02291666666667,0
97,235.2168605,0.813966666666667,0
98,586.3008423,3.11405,0
99,199.0602722,1.34973333333333,0
100,309.1965065,1.561,0
101,204.1240743,1.38733333333333,0
102,138.0550232,0.396716666666667,0
103,195.1011505,3.25258333333333,0
104,378.2061806,2.19138333333333,0
105,345.0961761,4.35836692708333,0
106,207.138134,1.47536666666667,0
